,word,category,percent
438,amzncombilwa,General Merchandise,0.99
439,httpsipcha,Food and Beverages,1.0
440,mcalisters,Food and Beverages,1.0
441,avenel,Food and Beverages,0.92
442,10pm,Travel,0.93
443,usavend,Food and Beverages,0.92
444,taste,Food and Beverages,0.95
445,shave,General Merchandise,0.94
446,jewelosco,Groceries,0.96
447,grocers,Groceries,1.0
448,11pm,Travel,0.92
449,jcp,General Merchandise,1.0
450,roblox,General Merchandise,0.99
451,caffe,Food and Beverages,0.96
452,doordashchipotle,Food and Beverages,1.0
453,belk,General Merchandise,0.98
454,supercell,General Merchandise,0.99
455,massage,General Merchandise,0.99
456,potbelly,Food and Beverages,0.97
457,dillards,General Merchandise,1.0
458,topic,General Merchandise,0.99
459,marianos,Groceries,0.94
460,supermar,Groceries,0.92
461,helphbomaxcom,General Merchandise,0.98
462,cryptocom,General Merchandise,0.98
463,peets,Food and Beverages,0.98
464,doordashcom,Food and Beverages,0.93
465,wines,Food and Beverages,0.97
466,theatre,Entertainment,0.95
467,wwwcvscom,Healthcare/Medical,0.92
468,tjx,General Merchandise,0.98
469,hdwe,General Merchandise,0.98
470,99centsonly,General Merchandise,0.97
471,supercuts,General Merchandise,0.98
472,expedia,Travel,1.0
473,crab,Food and Beverages,0.94
474,doordashwendys,Food and Beverages,1.0
475,crh,Food and Beverages,0.92
476,qvc,General Merchandise,0.99
477,3avenue,Food and Beverages,1.0
478,itunescombil,Entertainment,0.94
479,irish,Food and Beverages,0.94
480,murphys,Food and Beverages,0.92
481,bargain,General Merchandise,0.93
482,q99,Food and Beverages,0.98
483,liq,Food and Beverages,0.93
484,memomcdonalds,Food and Beverages,1.0
485,rentacar,Travel,1.0
486,cantina,Food and Beverages,0.97
487,12pm,Travel,0.92
488,10am,Travel,0.93
489,affirmcom,General Merchandise,0.93
490,wwwkohlscom,General Merchandise,1.0
491,dscdollar,General Merchandise,0.97
492,dutch,Food and Beverages,0.9
493,cane,Food and Beverages,0.9
494,jasons,Food and Beverages,0.94
495,hooters,Food and Beverages,0.97
496,sxmsiriusxmcoma,Entertainment,1.0
497,locker,General Merchandise,0.91
498,zumiez,General Merchandise,1.0
499,supermark,Groceries,0.92
500,marriott,Travel,0.96
501,noodle,Food and Beverages,0.99
502,sqcsquare,General Merchandise,0.91
503,moviepass,Entertainment,1.0
504,11am,Travel,0.98
505,cnkcinemarkcom,Entertainment,1.0
506,liqu,Food and Beverages,0.94
507,hulucom,Entertainment,1.0
508,drg,Groceries,0.96
509,clothing,General Merchandise,0.95
510,tmobileauto,Automotive,1.0
511,mexica,Food and Beverages,0.92
512,viewcaus,General Merchandise,0.93
